,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
69,35.22535,-88.24238,200 Wayne Road,Savannah,TN,38372,Hardin County,47071,both
70,35.1672,-88.5884,226 East Court Ave,Selmer,TN,38375,McNairy County,47109,both
71,35.35967,-85.39646,7393 HWY 28 South,Dunlap,TN,37327,Sequatchie County,47153,both
72,35.1813,-86.1044,668 S College St,Winchester,TN,37398,Franklin County,47051,both
73,35.1391,-85.3294,1211 US-127,Signal Mountain,TN,37377,Hamilton County,47065,both
74,35.1125,-85.2937,3504 Dayton Blvd,Red Bank,TN,37415,Hamilton County,47065,both
75,35.198755,-85.158765,8530 Hixson Pike,Hixson,TN,37343,Hamilton County,47065,both
76,35.068921,-85.289504,1150 Hixson Pike,Chattanooga,TN,37405,Hamilton County,47065,both
77,35.011818,-85.326525,3800 Tennessee Ave,Chattanooga,TN,37409,Hamilton County,47065,both
78,35.111847,-85.136872,5730a Highway 58,Harrison,TN,37341,Hamilton County,47065,both
79,35.040078,-85.685448,310 Kimball Crossing Dr.,Kimball,TN,37347,Marion County,47115,both
80,34.9975,-85.2439,4155 Ringgold Rd,Chattanooga,TN,37412,Hamilton County,47065,both
81,35.061182,-85.069878,9325 Apison Pike,Ooltewah,TN,37363,Hamilton County,47065,both
82,34.999662,-85.133557,8644 E Brainerd Rd,Chattanooga,TN,37421,Hamilton County,47065,both
83,35.178662,-84.864607,2507 Ocoee st,Cleveland,TN,37312,Bradley County,47011,both
84,35.44936,-84.615738,1250 Decatur Pike,Athens,TN,37303,McMinn County,47107,both
85,35.3392,-84.5205,119 Cooper St,Etowah,TN,37331,McMinn County,47107,both
86,35.5938,-84.4675,706 S Main St,Sweetwater,TN,37874,Monroe County,47123,both
87,35.513977,-84.361908,4510 Highway 411 # Us,Madisonville,TN,37354,Monroe County,47123,both
88,35.732749,-84.347296,930 B Mulberry Street,Loudon,TN,37774,Loudon County,47105,both
89,35.869,-84.5118,525 E Race Street,Kingston,TN,37763,Roane County,47145,both
90,35.89625,-84.611528,2116 Roane St,Harriman,TN,37748,Roane County,47145,both
91,35.81907,-84.263432,131 Kelsey Ln Suite 103,Lenoir City,TN,37772,Loudon County,47105,both
92,35.714374,-84.018548,2636 Highway 411 S.,Maryville,TN,37801,Blount County,47009,both
93,35.953942,-85.031538,45 Genesis Square,Crossville,TN,38555,Cumberland County,47035,both
94,36.004105,-84.288696,1952 Oakridge Turnpike,Oak Ridge,TN,37831,Anderson County,47001,both
95,35.76602,-83.9861,256 Hamilton Crossing Rd,Alcoa,TN,37701,Blount County,47009,both
96,35.880232,-84.161546,11408 Kingston Pike,Knoxville,TN,37934,Knox County,47093,both
97,35.062468,-89.990848,3000 Airways Blvd,Memphis,TN,38116,Shelby County,47157,both
98,35.033357,-90.02502,4230 Elvis Presley Blvd #111,Memphis,TN,38116,Shelby County,47157,both
99,35.05105,-89.814002,7464 Winchester Road,Memphis,TN,38125,Shelby County,47157,both
100,35.105786,-89.879041,5475 Poplar Ave,Memphis,TN,38119,Shelby County,47157,both
101,35.1168,-89.9456,550 S Highland St,Memphis,TN,38111,Shelby County,47157,both
102,36.308338,-82.361496,745 W Walnut St,Johnson City,TN,37604,Washington County,47179,both
103,36.3365,-82.2613,1946 W. Elk Ave,Elizabethton,TN,37643,Carter County,47019,both
104,36.37512,-82.427567,2694 Boones Creek #7,Johnson City,TN,37615,Washington County,47179,both
105,36.148083,-82.413578,151 SPEEDWAY BLVD,BRISTOL,TN,37620,Unicoi County,47171,both
106,36.146095,-82.415217,202 N Main St,Erwin,TN,37650,Unicoi County,47171,both
107,36.541459,-82.332956,1323-D Highway 394,Blountville,TN,37617,Sullivan County,47163,both
108,36.5112,-82.5171,3077 Fort Henry Dr,Kingsport,TN,37664,Sullivan County,47163,both
109,36.5531,-82.5718,714 W. Center St,Kingsport,TN,37660,Sullivan County,47163,both
110,36.5951,-82.1897,920 West State Street,Bristol,TN,37620,Sullivan County,47163,both
111,36.5288,-82.6866,720 E Main Blvd,Church Hill,TN,37642,Hawkins County,47073,both
112,36.178628,-82.782233,2335 East Andrew Johnson Hwy,Greeneville,TN,37745,Greene County,47059,both
113,36.4201,-82.9951,111 Justice Center Drive,Rogersville,TN,37857,Hawkins County,47073,both
114,35.789161,-83.947103,2535 E Broadway Ave,Maryville,TN,37804,Blount County,47009,both
115,35.8258,-84.0191,2629 Topside Rd.,Louisville,TN,37777,Blount County,47009,both
116,35.905088,-84.020534,7527 South Northshore Dr,Knoxville,TN,37919,Knox County,47093,both
117,35.947349,-83.979373,3613 Sutherland Ave.,Knoxville,TN,37919,Knox County,47093,both
118,35.907157,-84.107328,9648 Kingston Pike,Knoxville,TN,37922,Knox County,47093,both
119,35.941998,-84.040898,7419 Middlebrook Pike,Knoxville,TN,37909,Knox County,47093,both
120,35.907902,-83.845058,7419 Chapman Hwy,Knoxville,TN,37920,Knox County,47093,both
121,35.95057,-83.93972,2469 University Commons Way Suite 100,Knoxville,TN,37919,Knox County,47093,both
122,36.230948,-84.159227,623 N Main,Lake City,TN,37769,Anderson County,47001,both
123,36.099293,-84.13431,117 South Main Street,Clinton,TN,37716,Anderson County,47001,both
124,36.067831,-83.927423,6661 Maynardville Pike,Knoxville,TN,37918,Knox County,47093,both
125,36.252331,-83.793746,4354 Maynardville Hwy,Maynardville,TN,37807,Union County,47173,both
126,36.0288,-84.0319,2145 Emory Road,Powell,TN,37849,Knox County,47093,both
127,36.376955,-84.126916,409 W Central Ave,La Follette,TN,37766,Campbell County,47013,both
128,36.007436,-83.976118,412 Merchants Dr,Knoxville,TN,37912,Knox County,47093,both
129,36.027566,-83.874671,4943 Millertown Pike,Knoxville,TN,37917,Knox County,47093,both
130,36.03824,-84.21977,329 Oak Ridge Turnpike,Oak Ridge,TN,37830,Anderson County,47001,both
131,35.9796,-83.9233,900 N Broadway,Knoxville,TN,37917,Knox County,47093,both
132,36.447828,-83.575002,1446 North Broad St,Tazewell,TN,37825,Claiborne County,47025,both
133,36.2003,-83.3396,3332 West Andrew Johnson Hwy,Morristown,TN,37814,Hamblen County,47063,both
134,36.2268,-83.2652,179 Millers Landing Blvd Suite A,Morristown,TN,37814,Hamblen County,47063,both
135,36.1155,-83.4922,114 East Broadway Blvd,Jefferson City,TN,37760,Jefferson County,47089,both
136,35.862972,-83.546425,254 Middle Creek Rd,Sevierville,TN,37862,Sevier County,47155,both
137,36.016907,-83.820262,6402 Asheville Highway,Knoxville,TN,37924,Knox County,47093,both
138,35.946612,-84.11345,9615 Countryside Center Lane,Knoxville,TN,37931,Knox County,47093,both
139,35.7977,-83.5667,2888 parkway,Pigeon Forge,TN,37863,Sevier County,47155,both
140,35.7244,-83.49339,951 East Parkway,Gatlinburg,TN,37738,Sevier County,47155,both
141,35.8788,-83.7751,10635 Chapman Highway,Seymour,TN,37865,Sevier County,47155,both
142,35.8343,-88.8973,3030 East End Drive,Humboldt,TN,38343,Gibson County,47053,both
143,35.5937,-89.2668,251 W Main St,Brownsville,TN,38012,Haywood County,47075,both
144,35.682853,-88.856469,169 Stonebrook PL,Jackson,TN,38305,Madison County,47113,both
145,35.651352,-88.828042,941 North Parkway,Jackson,TN,38305,Madison County,47113,both
146,35.7396,-89.5394,291a S. Washington St.,Ripley,TN,38063,Lauderdale County,47097,both
147,36.06259,-89.395124,2500 Lake Rd. Suite 2,Dyersburg,TN,38024,Dyer County,47045,both
148,35.9095,-88.7527,5019 Liberty Street,Milan,TN,38358,Gibson County,47053,both
149,35.56077,-88.813487,1706 S Highland,Jackson,TN,38301,Madison County,47113,both
150,35.544534,-89.662798,1618 Highway 51 S Unit E,Covington,TN,38019,Tipton County,47167,both
151,35.4349,-88.6476,430 West Main Street,Henderson,TN,38340,Chester County,47023,both
152,35.283833,-89.669956,5780 Airline Road,Arlington,TN,38002,Shelby County,47157,both
153,35.20169,-89.731811,2821 Houston Levee Rd Suite 101,Cordova,TN,38016,Shelby County,47157,both
154,35.204383,-89.812131,7539 U.S. 64,Memphis,TN,38133,Shelby County,47157,both
155,35.226544,-89.848115,6490 Memphis- Arlington Rd. Suite 103,Bartlett,TN,38135,Shelby County,47157,both
156,35.161627,-89.79609,1327 N Germantown Parkway,Cordova,TN,38108,Shelby County,47157,both
157,35.2291,-89.5317,6304 US-64,Oakland,TN,38060,Fayette County,47047,both
158,35.183074,-89.870488,5784 Raleigh Lagrange Rd,Memphis,TN,38134,Shelby County,47157,both
159,35.34434,-89.907534,7979 Hwy 51 North,Millington,TN,38053,Shelby County,47157,both
160,35.446575,-89.784985,11124 Highway 51 South,Atoka,TN,38004,Tipton County,47167,both
161,35.091976,-89.808743,2086 S. Germantown Road,Germantown,TN,38138,Shelby County,47157,both
162,35.148569,-89.919515,4235 Summer Ave,Memphis,TN,38122,Shelby County,47157,both
163,35.256291,-88.992436,107 Porter Street,Bolivar,TN,38008,Hardeman County,47069,both
164,36.414417,-89.052111,620 E Reelfoot,Union City,TN,38261,Obion County,47131,both
165,36.342856,-88.857839,300 University Street,Martin,TN,38237,Weakley County,47183,both
166,35.0489,-89.6866,308 New Byhalia Rd. Unit 100,Collierville,TN,38017,Shelby County,47157,both
167,35.136504,-90.009423,1560 Union Ave,Memphis,TN,38104,Shelby County,47157,both
168,35.139383,-90.038494,686 Union Ave,Memphis,TN,38103,Shelby County,47157,both
