,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
189,658,36.147469,-82.847765,504 Asheville Hwy,Greeneville,TN,37743,Greene County,47059,both
190,659,36.170472,-82.819276,521 Tusculum Blvd,Greeneville,TN,37745,Greene County,47059,both
191,662,35.910903,-84.583132,Interstate 40/Rt 27,Harriman,TN,37748,Roane County,47145,both
192,663,35.878121,-84.509851,840 N Kentucky St,Kingston,TN,37763,Roane County,47145,both
193,665,36.050083,-83.998971,409 Emory Rd,Powell,TN,37938,Knox County,47093,both
194,666,36.334393,-84.177962,2826 Appalachian Hwy,Jacksboro,TN,37757,Campbell County,47013,both
195,667,36.11461,-83.49351,100 W Broadway St,Jefferson City,TN,37760,Jefferson County,47089,both
196,669,36.581773,-84.114331,1419 Fifth Street,Jellico,TN,37762,Campbell County,47013,both
197,672,35.986206,-83.606235,139 E Dumplin Valley Rd,Kodak,TN,37764,Sevier County,47155,both
198,674,36.231377,-84.158517,624 N Main St,Lake City,TN,37769,Anderson County,47001,both
199,676,35.802539,-84.261486,402 Hwy 321n,Lenoir City,TN,37771,Loudon County,47105,both
200,678,36.450686,-83.570546,Hwy 33 & 25 E,Tazewell,TN,37879,Claiborne County,47025,both
201,679,35.730771,-84.390153,12505 Hwy 72 N,Loudon,TN,37774,Loudon County,47105,both
202,680,35.861059,-84.068175,9526 S Northshore Dr Sw,Knoxville,TN,37921,Knox County,47093,both
203,686,36.143238,-83.277046,5290 Twin Spires Lane,Morristown,TN,37814,Hamblen County,47063,both
204,695,36.226613,-83.843308,2716 Maynardville Hwy,Maynardville,TN,37807,Union County,47173,both
205,698,36.231255,-83.287879,1594 Buffalo Trail Dr,Morristown,TN,37814,Hamblen County,47063,both
206,699,36.206453,-83.323228,2212 W Andrew Johnson,Morristown,TN,37814,Hamblen County,47063,both
207,700,36.222465,-83.260063,2505 E Morris Blvd,Morristown,TN,37813,Hamblen County,47063,both
208,705,36.178211,-83.392121,5995 W Andrew Johnson Hwy,Morristown,TN,37813,Hamblen County,47063,both
209,708,35.951206,-83.201046,817 Cosby Rd,Newport,TN,37821,Cocke County,47029,both
