,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
0,36.5878876,-87.2944815,2800 WILMA RUDOLPH BLVD,CLARKSVILLE,TN,37040,Montgomery County,47125,both
1,36.5078921,-87.2719076,2330 MADISON ST,CLARKSVILLE,TN,37043,Montgomery County,47125,both
2,36.6250751,-87.3230937,1824 TINY TOWN ROAD,CLARKSVILLE,TN,37042,Montgomery County,47125,both
3,36.5362961,-87.3680111,662 N RIVERSIDE DR,CLARKSVILLE,TN,37040,Montgomery County,47125,both
4,36.4003689,-87.0303306,2601 HIGHWAY 49 E,PLEASANT VIEW,TN,37146,Cheatham County,47021,both
5,36.5805712,-87.4094816,1683 FT. CAMPBELL BOULEVARD,CLARKSVILLE,TN,37042,Montgomery County,47125,both
6,36.044098,-86.6493711,221 CROSSINGS PLACE,ANTIOCH,TN,37013,Davidson County,47037,both
7,36.0743628,-86.6380823,2600 MURFREESBORO RD.,NASHVILLE,TN,37217,Davidson County,47037,both
8,36.0871552,-86.6948801,330 HARDING PLACE,NASHVILLE,TN,37211,Davidson County,47037,both
9,36.0637899,-86.7175166,4843 NOLENSVILLE PIKE,NASHVILLE,TN,37211,Davidson County,47037,both
10,36.04142,-86.7442415,5529 EDMONDSON PIKE,NASHVILLE,TN,37211,Davidson County,47037,both
11,36.1450877,-86.6661778,551 DONELSON PIKE,NASHVILLE,TN,37214,Davidson County,47037,both
12,36.1120434,-86.7674456,741 THOMPSON LN,NASHVILLE,TN,37204,Davidson County,47037,both
13,36.038561,-86.7848355,5640 FRANKLIN PIKE CIR,BRENTWOOD,TN,37027,Davidson County,47037,both
14,35.983772,-86.5549218,490 SAM RIDLEY PKWY W,SMYRNA,TN,37167,Rutherford County,47149,both
15,36.10167,-86.8192877,4104 HILLSBORO CIRCLE,NASHVILLE,TN,37215,Davidson County,47037,both
16,36.1893396,-86.6270013,3419 LEBANON ROAD,HERMITAGE,TN,37076,Davidson County,47037,both
17,36.1456693,-86.8100274,2603 WEST END AVE,NASHVILLE,TN,37203,Davidson County,47037,both
18,35.9763034,-86.5128701,241 S LOWRY ST,SMYRNA,TN,37167,Rutherford County,47149,both
19,36.2046353,-86.7382036,3021 GALLATIN RD.,NASHVILLE,TN,37216,Davidson County,47037,both
20,36.1673881,-86.821142,1045 28TH AVENUE NORTH,NASHVILLE,TN,37208,Davidson County,47037,both
21,35.9484751,-86.8192983,2050 MALLORY LANE,FRANKLIN,TN,37067,Williamson County,47187,both
22,36.1665487,-86.5137573,401 S. MT. JULIET ROAD,MOUNT JULIET,TN,37122,Wilson County,47189,both
23,36.1906721,-86.800063,802 VANTAGE WAY COURT,NASHVILLE,TN,37228,Davidson County,47037,both
24,36.2328375,-86.7583026,3131 DICKERSON ROAD,NASHVILLE,TN,37207,Davidson County,47037,both
25,36.2458436,-86.7212788,1221 GALLATIN PIKE S,MADISON,TN,37115,Davidson County,47037,both
26,35.9153173,-86.8268716,1313 MURFREESBORO ROAD,FRANKLIN,TN,37064,Williamson County,47187,both
27,36.127782,-86.9082834,7104 CHARLOTTE PIKE,NASHVILLE,TN,37209,Davidson County,47037,both
28,36.0792584,-86.9516936,7642 HIGHWAY 70 SOUTH,NASHVILLE,TN,37221,Davidson County,47037,both
29,36.30144,-86.7018002,809 RIVERGATE PKWY,GOODLETTSVILLE,TN,37072,Davidson County,47037,both
30,36.187058,-86.4092021,160 HWY 109 NORTH,LEBANON,TN,37090,Wilson County,47189,both
31,36.1773916,-85.9486593,502 GORDONSVILLE HIGHWAY,GORDONSVILLE,TN,38563,Smith County,47159,both
32,36.1858836,-86.2968953,807 S. CUMBERLAND_STREET,LEBANON,TN,37087,Wilson County,47189,both
33,35.845414,-86.4248715,1845 OLD FORT PARKWAY,MURFREESBORO,TN,37129,Rutherford County,47149,both
34,35.7774749,-86.9146335,4924 COLUMBIA PIKE,SPRING HILL,TN,37174,Williamson County,47187,both
35,35.86083,-86.39104,1315 MEMORIAL BLVD.,MURFREESBORO,TN,37129,Rutherford County,47149,both
36,35.8188854,-86.3951594,1905 S CHURCH STREET,MURFREESBORO,TN,37130,Rutherford County,47149,both
37,35.4598398,-86.0541607,82 EXPRESSWAY DRIVE,MANCHESTER,TN,37355,Coffee County,47031,both
38,35.4862519,-86.4344866,1047 MADISON STREET,SHELBYVILLE,TN,37160,Bedford County,47003,both
39,35.4515374,-86.7765212,290 N ELLINGTON PIKE,LEWISBURG,TN,37091,Marshall County,47117,both
40,35.3661629,-86.2202511,411 WILSON AVE.,TULLAHOMA,TN,37388,Coffee County,47031,both
41,36.3868337,-86.451162,233 W. MAIN_STREET,GALLATIN,TN,37066,Sumner County,47165,both
42,36.3765587,-86.4704087,927 NASHVILLE PIKE,GALLATIN,TN,37066,Sumner County,47165,both
43,36.4693135,-86.6737282,692 HIGHWAY 76,WHITE HOUSE,TN,37188,Robertson County,47147,both
44,36.0225856,-87.3410305,2320 HIGHWAY 46 SOUTH,DICKSON,TN,37055,Dickson County,47043,both
45,36.0604735,-87.3756338,530 HIGHWAY 46 S,DICKSON,TN,37055,Dickson County,47043,both
46,35.6941383,-85.7490461,1354 SPARTA ST,MCMINNVILLE,TN,37110,Warren County,47177,both
47,36.2172825,-86.3321545,1445 1/2 WEST MAIN ST,LEBANON,TN,37087,Wilson County,47189,both
48,36.3075031,-86.6077298,168 E MAIN ST,HENDERSONVILLE,TN,37075,Sumner County,47165,both
49,35.6350212887277,-87.0162501590242,114 BEAR CREEK PIKE,COLUMBIA,TN,38401,Maury County,47119,both
50,36.3261219,-86.7013121,310 LONG HOLLOW PIKE,GOODLETTSVILLE,TN,37072,Davidson County,47037,both
51,35.6002368,-87.0627599,1209 S JAMES CAMPBELL BLVD,COLUMBIA,TN,38401,Maury County,47119,both
52,36.0591747,-88.1151742,120 HIGHWAY 641 NORTH,CAMDEN,TN,38320,Benton County,47005,both
53,35.2327225,-85.8257631,640 DIXIE LEE AVENUE,MONTEAGLE,TN,37356,Marion County,47115,both
54,35.0833991,-85.0585955,6009 OOLTEWAH GEORGETOWN RD,OOLTEWAH,TN,37363,Hamilton County,47065,both
55,35.0615098,-85.136978,7408 BONNY OAKS DRIVE,CHATTANOOGA,TN,37421,Hamilton County,47065,both
56,34.9899837,-85.1971162,6727 RINGGOLD ROAD,CHATTANOOGA,TN,37412,Hamilton County,47065,both
57,35.1290429,-84.8659244,2830 MCGRADY DRIVE,CLEVELAND,TN,37323,Bradley County,47011,both
58,35.0842343,-85.1983138,4500 HIGHWAY 58,CHATTANOOGA,TN,37416,Hamilton County,47065,both
59,35.185228,-84.8760876,925 25TH STREET N W,CLEVELAND,TN,37311,Bradley County,47011,both
60,35.1461364,-85.2207377,5596 HIXSON PIKE,HIXSON,TN,37343,Hamilton County,47065,both
61,35.0447698,-85.2799746,418 CUMBERLAND STREET,CHATTANOOGA,TN,37404,Hamilton County,47065,both
62,35.19771,-84.8417,401 STUART ROAD,CLEVELAND,TN,37312,Bradley County,47011,both
63,35.2141703,-84.8701756,1010 PAUL HUFF PARKWAY,CLEVELAND,TN,37312,Bradley County,47011,both
64,35.0204308,-85.3202842,3104 S. BROAD ST.,CHATTANOOGA,TN,37408,Hamilton County,47065,both
65,35.0851935,-85.3161576,1868 DAYTON BLVD,CHATTANOOGA,TN,37405,Hamilton County,47065,both
66,35.2365323,-85.1990604,9362 DAYTON PIKE,SODDY DAISY,TN,37379,Hamilton County,47065,both
67,35.4626098,-84.6416105,2554 DECATUR PIKE,ATHENS,TN,37303,McMinn County,47107,both
68,35.545268,-84.5656394,507 HIGHWAY 309,NIOTA,TN,37826,McMinn County,47107,both
69,35.5107931,-84.3717867,711 ENGLEWOOD ROAD,MADISONVILLE,TN,37354,Monroe County,47123,both
