,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS
127,35.5154181,-84.359668,4513 HIGHWAY 411,MADISONVILLE,TN,37354,Monroe County,47123
128,35.506923,-84.9998579,7330 RHEA COUNTY HIGHWAY,DAYTON,TN,37321,Rhea County,47143
129,35.189673,-84.8797356,1340 25TH STREET NW,CLEVELAND,TN,37311,Bradley County,47011
130,35.2235756,-85.2180272,8642 Dayton Pike,Soddy Daisy,TN,37379,Hamilton County,47065
131,35.1529743,-85.1997768,6216 HIXSON PIKE,HIXSON,TN,37343,Hamilton County,47065
132,35.116885,-85.2510226,4305 Hixson Pike,Chattanooga,TN,37415,Hamilton County,47065
133,35.1130253,-85.292898,3508 Dayton Boulevard,Chattanooga,TN,37415,Hamilton County,47065
134,35.0177384,-85.6988761,131 Highway 156,South Pittsburg,TN,37380,Marion County,47115
135,35.6165439,-84.1984374,262 W. Highway 72,Collierville,TN,38017,Monroe County,47123
136,35.7960967,-84.2571615,1000 E. Broadway,Lenoir City,TN,37771,Loudon County,47105
137,35.7403635,-83.9970549,411 Foothills Mall Drive,Maryville,TN,37801,Blount County,47009
138,35.7554852,-83.9506145,1523 E Lamar Alexander Pkwy,Maryville,TN,37804,Blount County,47009
139,35.8838281,-84.6556366,1324 N. Gateway Avenue,Rockwood,TN,37854,Roane County,47145
140,35.969194,-85.037352,1598 N. Main Street,Crossville,TN,38555,Cumberland County,47035
141,35.8728376,-84.5152143,236 N Kentucky St,Kingston,TN,37763,Roane County,47145
142,35.9404215,-84.543719,1007 N Roane Street,Harriman,TN,37748,Roane County,47145
143,36.1025767,-84.5853861,3796 Morgan County Highway,Wartburg,TN,37887,Morgan County,47129
144,35.0188597,-85.3713281,3222 Cummings Highway,Chattanooga,TN,37419,Hamilton County,47065
145,35.1393168,-89.9784834,2460 Poplar Avenue,Memphis,TN,38112,Shelby County,47157
146,35.1496775,-89.9341915,3804 Summer Avenue,Memphis,TN,38122,Shelby County,47157
147,35.2206221,-89.9298124,4009 Frayser-raleigh Road,Memphis,TN,38128,Shelby County,47157
148,35.2056278,-89.9125466,4525 Stage Road,Memphis,TN,38128,Shelby County,47157
149,35.0904485,-89.9306796,1500 Getwell Road,Memphis,TN,38111,Shelby County,47157
150,35.2228215,-89.8936732,3540 Covington Pike,Memphis,TN,38128,Shelby County,47157
151,35.1730897,-89.8679684,5860 Highway 70,Memphis,TN,38134,Shelby County,47157
152,35.0707175,-89.9059924,2865 South Perkins Road,Memphis,TN,38118,Shelby County,47157
153,36.3537701,-82.3824571,2619 N. Roan Street,Johnson City,TN,37604,Washington County,47179
154,36.3486908,-82.2422651,1003 West Elk Avenue,Elizabethton,TN,37643,Carter County,47019
155,36.312129,-82.412253,3300-a W. Market Street,Johnson City,TN,37604,Washington County,47179
156,36.4914369,-82.5055815,3845 Fort Henry Drive,Kingsport,TN,37663,Sullivan County,47163
157,36.5726734,-82.1922866,1015 Volunteer Parkway,Bristol,TN,37625,Sullivan County,47163
158,36.5521204,-82.5282545,1124 E. Stone Drive,Kingsport,TN,37660,Sullivan County,47163
159,36.5943277,-82.2155605,2709 West State St.,Bristol,TN,37620,Sullivan County,47163
160,36.5560459,-82.5986782,2308 West Stone Drive,Kingsport,TN,37660,Sullivan County,47163
161,36.1785783,-82.7857547,2115 E Andrew Johnson Hwy,Greeneville,TN,37743,Greene County,47059
162,36.4143781,-82.9899279,1214 East Main Street,Rogersville,TN,37857,Hawkins County,47073
163,36.2026313,-83.2833362,1153 South Cumberland,Morristown,TN,37814,Hamblen County,47063
164,35.8140394,-83.9817329,2506 Alcoa Hwy,Alcoa,TN,37701,Blount County,47009
165,35.9334793,-83.9980572,5722 Kingston Pike,Knoxville,TN,37919,Knox County,47093
166,35.9223062,-84.0629265,8475 Kingston Pike,Knoxville,TN,37919,Knox County,47093
167,35.9319627,-83.9033905,4515 Chapman Hwy,Knoxville,TN,37920,Knox County,47093
168,35.8947765,-84.1383557,10704 Kingston Pike,Knoxville,TN,37922,Knox County,47093
169,35.9063826,-83.8411344,7519 Mountain Grove Drive,Knoxville,TN,37920,Knox County,47093
170,36.1608698,-84.0868255,2210 North Charles G. Seivers Boulevard,Clinton,TN,37716,Anderson County,47001
171,36.2304837,-84.1589845,605 N. Main Street,Lake City,TN,37769,Anderson County,47001
172,36.0739994,-83.9282729,6949 MAYNARDVILLE HIGHWAY,KNOXVILLE,TN,37918,Knox County,47093
173,36.3738222,-84.1303826,717 W Central Avenue,La Follette,TN,37766,Campbell County,47013
174,36.0318366,-83.9303638,5101 N Broadway,Knoxville,TN,37918,Knox County,47093
175,36.0046683,-84.0195617,2742 Schaad Road,Knoxville,TN,37921,Knox County,47093
176,36.0280955,-83.8742423,5003 Millertown Pike,Knoxville,TN,37917,Knox County,47093
177,36.0017416,-83.9264088,3307 North Broadway,Knoxville,TN,37917,Knox County,47093
178,36.2037408,-83.3269368,2403 West Andrew Johnson Hwy,Morristown,TN,37814,Hamblen County,47063
